"dist_93","dist_76","dist_3","dist_62","dist_18","pseudo_2","pseudo_11","pseudo_4","ss_5","pseudo_15","pseudo_20","pseudo_6","pseudo_13","dist_16","pseudo_16","dist_17","dist_47","dist_2","pseudo_14","dist_75","pseudo_1","comp_16","dipep_211","pseudo_10","tran_18","pseudo_3","dist_1","aac_2","dist_77","dist_78","dist_72","ss_1","dist_91","pseudo_7","pseudo_9","dipep_48","dipep_31","aac_3","dist_29","dist_40","aac_13","dist_10","Output"
7.317073171,2.43902439,19.51219512,2.43902439,4.87804878,1.004314031,0.502157015,0,0.12195122,0,1.004314031,0.502157015,1.004314031,2.43902439,2.008628061,14.63414634,14.63414634,2.43902439,0,51.2195122,2.008628061,31.70731707,0,1.506471046,0.225,2.008628061,4.87804878,0.048780488,9.756097561,7.317073171,51.2195122,0.021341463,2.43902439,0.502157015,0,0.025,0,0.097560976,92.68292683,73.17073171,0.048780488,43.90243902,1
6.976744186,2.325581395,4.651162791,2.325581395,9.302325581,0,0.523954383,0,0.139534884,0,1.571863148,1.047908765,0.523954383,2.325581395,1.571863148,4.651162791,4.651162791,2.325581395,0,48.8372093,2.619771913,34.88372093,0,2.09581753,0.238095238,2.09581753,13.95348837,0,4.651162791,6.976744186,30.23255814,0.124584718,2.325581395,0.523954383,0.523954383,0.023809524,0,0.093023256,88.37209302,69.76744186,0.023255814,48.8372093,1
2.325581395,4.651162791,18.60465116,2.325581395,4.651162791,0,0.508724047,1.017448095,0.162790698,0.508724047,2.034896189,0,0,2.325581395,0.508724047,13.95348837,13.95348837,2.325581395,0,62.79069767,0.508724047,20.93023256,0,1.526172142,0.30952381,1.017448095,4.651162791,0,2.325581395,11.62790698,41.86046512,0,11.62790698,1.017448095,0,0.023809524,0,0.046511628,86.04651163,65.11627907,0,62.79069767,1
6.976744186,2.325581395,16.27906977,4.651162791,2.325581395,0,0.528994713,0.528994713,0.11627907,0,1.58698414,0,0.528994713,9.302325581,1.057989426,4.651162791,4.651162791,6.976744186,0,39.53488372,1.58698414,23.25581395,0,0.528994713,0.357142857,4.231957705,2.325581395,0,6.976744186,4.651162791,39.53488372,0,9.302325581,0,1.057989426,0.047619048,0,0.186046512,100,58.13953488,0.023255814,65.11627907,1
32.55813953,41.86046512,2.325581395,2.325581395,97.6744186,0,0,0,0.069767442,0,0.765760852,0,0,4.651162791,4.594565111,2.325581395,2.325581395,4.651162791,0,0,0,4.651162791,0,1.531521704,0.261904762,1.531521704,41.86046512,0,2.325581395,4.651162791,0,0,2.325581395,0.765760852,0.765760852,0.023809524,0,0.046511628,100,58.13953488,0,62.79069767,1
13.95348837,2.325581395,4.651162791,2.325581395,9.302325581,0,1.289260121,0,0.139534884,0,2.578520242,0,0,11.62790698,1.933890181,2.325581395,2.325581395,11.62790698,0.64463006,0,3.867780363,25.58139535,0,3.867780363,0.30952381,1.289260121,2.325581395,0,4.651162791,6.976744186,0,0,4.651162791,0.64463006,0.64463006,0,0,0.046511628,100,74.41860465,0,86.04651163,1
2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,0,0.446571075,0.446571075,0.045454545,0.446571075,0.89314215,0.446571075,0.89314215,4.545454545,0,9.090909091,9.090909091,4.545454545,0.89314215,86.36363636,1.7862843,43.18181818,0,4.019139676,0.209302326,0.446571075,13.63636364,0,9.090909091,4.545454545,65.90909091,0.329809725,4.545454545,0.89314215,0.446571075,0,0,0.022727273,100,70.45454545,0.045454545,77.27272727,1
4.545454545,2.272727273,15.90909091,4.545454545,2.272727273,0,0.553305786,0.553305786,0.113636364,0,1.106611572,0,0,9.090909091,1.106611572,11.36363636,11.36363636,4.545454545,0,38.63636364,3.319834716,25,0,1.659917358,0.348837209,3.873140502,2.272727273,0,4.545454545,9.090909091,38.63636364,0.059725159,9.090909091,0,0,0.046511628,0,0.159090909,95.45454545,54.54545455,0,63.63636364,1
8.888888889,2.222222222,6.666666667,2.222222222,24.44444444,0,0.645964651,0.645964651,0.133333333,1.291929302,0.645964651,0,0,2.222222222,2.583858604,4.444444444,4.444444444,2.222222222,1.291929302,22.22222222,2.583858604,11.11111111,0,0.645964651,0.5,1.937893953,4.444444444,0,6.666666667,4.444444444,22.22222222,0,2.222222222,0,0,0.022727273,0,0.066666667,95.55555556,80,0,91.11111111,1
2.127659574,4.255319149,4.255319149,2.127659574,8.510638298,0.500199449,0.500199449,1.000398899,0.14893617,0.500199449,1.000398899,0.500199449,1.000398899,2.127659574,1.500598348,4.255319149,4.255319149,2.127659574,1.000398899,85.10638298,1.500598348,31.91489362,0,1.000398899,0.217391304,0,6.382978723,0.021276596,8.510638298,2.127659574,61.70212766,0,4.255319149,1.000398899,0.500199449,0,0,0,85.10638298,74.46808511,0.042553191,55.31914894,1
2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,0.463891563,2.319457813,0.927783125,0.106382979,0.463891563,0.463891563,0.927783125,0.463891563,4.255319149,2.319457813,10.63829787,10.63829787,17.0212766,0.927783125,40.42553191,0.463891563,40.42553191,0,0.927783125,0.217391304,0.927783125,4.255319149,0.021276596,8.510638298,4.255319149,27.65957447,0.097132285,8.510638298,0.463891563,0.463891563,0,0,0.042553191,97.87234043,68.08510638,0.021276596,74.46808511,1
8.333333333,4.166666667,2.083333333,2.083333333,6.25,0.511250724,4.09000579,1.533752171,0,0.511250724,1.022501447,4.09000579,0,8.333333333,1.022501447,2.083333333,2.083333333,8.333333333,1.022501447,91.66666667,0,54.16666667,0.042553191,2.556253619,0.106382979,1.533752171,25,0.020833333,2.083333333,8.333333333,79.16666667,0.457890071,2.083333333,0.511250724,0,0,0,0.0625,97.91666667,64.58333333,0,83.33333333,1
6.25,22.91666667,2.083333333,2.083333333,6.25,1.536714926,0,0,0.145833333,0.512238309,2.561191543,0.512238309,0,8.333333333,3.58566816,2.083333333,2.083333333,6.25,1.024476617,50,2.048953234,25,0,1.024476617,0.404255319,2.048953234,4.166666667,0.0625,2.083333333,4.166666667,50,0.083333333,2.083333333,1.024476617,0,0.021276596,0,0.083333333,91.66666667,62.5,0,52.08333333,1
8,4,6,2,4,1.027880723,1.541821084,0,0.12,0.513940361,3.59758253,0,0,8,0.513940361,2,2,8,0,0,4.111522891,34,0,0.513940361,0.265306122,1.027880723,2,0.04,6,2,0,0.022857143,6,0,0,0,0,0.04,94,70,0,46,1
2,2,2,2,2,0,2.44517109,1.222585545,0.1,1.833878318,3.056463863,1.833878318,1.222585545,8,1.222585545,4,4,8,1.222585545,84,6.112927726,44,0,2.44517109,0.081632653,1.833878318,4,0,12,8,36,0.169795918,12,1.222585545,0,0,0,0.06,100,74,0.04,78,1
2,2,2,2,2,0,3.920005437,1.120001553,0.12,2.240003107,1.68000233,0,1.120001553,8,2.240003107,6,6,8,2.240003107,84,0,42,0.020408163,1.68000233,0.163265306,0,4,0,10,8,32,0.148163265,6,2.240003107,1.68000233,0,0,0,100,78,0.04,66,1
5.660377358,3.773584906,5.660377358,3.773584906,5.660377358,0,2.948292154,1.179316862,0.132075472,1.179316862,1.768975293,0,1.179316862,1.886792453,3.537950585,3.773584906,3.773584906,7.547169811,0,9.433962264,2.948292154,32.0754717,0,1.768975293,0.230769231,1.179316862,1.886792453,0,13.20754717,1.886792453,1.886792453,0.035921626,11.32075472,0.589658431,0,0,0,0.037735849,92.45283019,75.47169811,0.037735849,32.0754717,1
5.555555556,1.851851852,3.703703704,3.703703704,1.851851852,0,1.707709866,0.569236622,0.092592593,0,1.138473244,0,0.569236622,5.555555556,0.569236622,3.703703704,3.703703704,5.555555556,1.707709866,22.22222222,4.553892976,38.88888889,0,1.138473244,0.20754717,2.84618311,1.851851852,0,5.555555556,12.96296296,22.22222222,0.106568833,3.703703704,2.276946488,1.707709866,0,0,0.092592593,96.2962963,72.22222222,0.018518519,51.85185185,1
1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,0.522338924,2.611694621,0,0.090909091,0.522338924,1.044677848,1.044677848,0.522338924,14.54545455,4.178711393,3.636363636,3.636363636,14.54545455,1.567016773,83.63636364,0.522338924,36.36363636,0,2.089355697,0.222222222,2.089355697,3.636363636,0.018181818,12.72727273,3.636363636,34.54545455,0.155892256,7.272727273,0.522338924,1.044677848,0,0,0.072727273,90.90909091,65.45454545,0.018181818,78.18181818,1
4.166666667,2.083333333,16.66666667,2.083333333,6.25,1.755251653,0.438812913,0.877625827,0.104166667,0,2.194064566,0.438812913,0,2.083333333,0.877625827,12.5,12.5,2.083333333,0.438812913,58.33333333,1.31643874,29.16666667,0,1.31643874,0.255319149,1.31643874,12.5,0.083333333,4.166666667,10.41666667,52.08333333,0.107269504,2.083333333,0.438812913,0,0.021276596,0,0.0625,93.75,70.83333333,0,60.41666667,1
3.571428571,2.380952381,10.71428571,1.19047619,20.23809524,0,5.817358064,1.939119355,0.071428571,3.878238709,2.585492473,0.646373118,0.646373118,1.19047619,6.463731182,2.380952381,2.380952381,1.19047619,0,59.52380952,6.463731182,29.76190476,0.012048193,1.939119355,0.21686747,4.524611828,2.380952381,0,3.571428571,1.19047619,14.28571429,0.052495697,1.19047619,1.939119355,0.646373118,0.012048193,0,0.083333333,88.0952381,69.04761905,0.011904762,54.76190476,1
6.666666667,3.333333333,10,3.333333333,16.66666667,0,0.598383794,0,0.266666667,0,1.196767587,0,0,3.333333333,2.393535174,10,10,3.333333333,0,0,1.196767587,26.66666667,0,2.393535174,0.206896552,0.598383794,16.66666667,0,10,6.666666667,0,0.026436782,3.333333333,0,0,0,0,0.033333333,93.33333333,70,0,53.33333333,1
3.076923077,13.84615385,1.538461538,1.538461538,10.76923077,2.483364311,0.993345724,1.490018586,0.107692308,1.986691449,3.476710035,0.496672862,0.496672862,3.076923077,2.980037173,1.538461538,1.538461538,3.076923077,0.993345724,96.92307692,0.993345724,29.23076923,0,1.490018586,0.25,1.490018586,13.84615385,0.076923077,1.538461538,3.076923077,55.38461538,0,1.538461538,0.993345724,0.496672862,0,0,0.046153846,96.92307692,73.84615385,0.015384615,66.15384615,1
4.761904762,2.380952381,16.66666667,4.761904762,2.380952381,0.485620325,0,0.485620325,0.142857143,0.485620325,1.456860974,0,0,9.523809524,0.485620325,11.9047619,11.9047619,4.761904762,0,40.47619048,1.456860974,30.95238095,0,1.456860974,0.268292683,0.971240649,2.380952381,0.023809524,4.761904762,9.523809524,40.47619048,0.013356562,9.523809524,0.971240649,1.456860974,0.024390244,0,0.047619048,83.33333333,66.66666667,0,64.28571429,1
1.568627451,1.176470588,0.784313725,0.784313725,4.705882353,4.607967437,8.703938492,14.84789508,0.02745098,7.679945729,6.655952965,8.191942111,3.071978291,0.392156863,11.2639204,0.784313725,0.784313725,1.176470588,6.143956583,100,9.727931256,32.15686275,0.003937008,4.607967437,0.212598425,5.631960201,0.392156863,0.035294118,0.784313725,0.392156863,70.19607843,0.138876023,0.784313725,3.071978291,0.511996382,0.003937008,0,0.043137255,100,75.29411765,0.023529412,69.41176471,1
0.161812298,0.161812298,0.161812298,0.161812298,0.161812298,17.77402768,23.00168287,13.069138,0.012944984,22.47891735,24.56997943,19.34232424,6.273186239,0.323624595,18.81955872,0.809061489,0.647249191,0.323624595,6.795951758,99.02912621,44.95783471,44.98381877,0.003241491,16.72849664,0.153970827,14.63743456,0.485436893,0.055016181,0.809061489,0.647249191,75.24271845,0.151487257,0.323624595,14.11466904,3.136593119,0.009724473,0.001620746,0.045307443,99.19093851,75.56634304,0.019417476,77.34627832,1
