aac_2,aac_3,aac_13,dipep_31,dipep_48,dipep_191,dipep_211,dipep_280,pseudo_1,pseudo_2,pseudo_3,pseudo_4,pseudo_6,pseudo_7,pseudo_9,pseudo_10,pseudo_11,pseudo_13,pseudo_14,pseudo_15,pseudo_16,pseudo_20,comp_16,tran_18,dist_1,dist_2,dist_3,dist_10,dist_16,dist_17,dist_18,dist_29,dist_40,dist_47,dist_62,dist_72,dist_75,dist_76,dist_77,dist_78,dist_91,dist_93,ss_1,ss_5,Output
0,0.074074074,0.037037037,0,0,0,0,0.038461538,0,0,1.172570026,0,0.586285013,0.586285013,1.172570026,1.172570026,0,0.586285013,1.172570026,0,2.345140052,1.172570026,22.22222222,0.192307692,3.703703704,7.407407407,22.22222222,55.55555556,7.407407407,22.22222222,3.703703704,81.48148148,81.48148148,22.22222222,7.407407407,48.14814815,48.14814815,3.703703704,22.22222222,7.407407407,7.407407407,14.81481481,0,0.222222222,1
0.032258065,0,0,0,0,0,0.033333333,0,0.980861846,0.490430923,0,0,0,0.980861846,0.490430923,0,1.471292769,0,0.490430923,1.471292769,1.961723693,0,45.16129032,0.2,3.225806452,6.451612903,16.12903226,90.32258065,6.451612903,51.61290323,3.225806452,87.09677419,51.61290323,51.61290323,6.451612903,0,0,3.225806452,16.12903226,6.451612903,6.451612903,22.58064516,0.087096774,0.096774194,1
0,0.032258065,0,0,0,0,0,0,0.547869387,0,0.547869387,0,0,0,0,1.095738775,1.095738775,0,0,0,2.19147755,1.643608162,29.03225806,0.333333333,19.35483871,3.225806452,12.90322581,54.83870968,3.225806452,12.90322581,19.35483871,87.09677419,67.74193548,12.90322581,3.225806452,0,0,6.451612903,12.90322581,3.225806452,6.451612903,3.225806452,0.020430108,0.225806452,1
0,0.03125,0,0,0,0,0,0,0.63174591,0,0.63174591,0,0.63174591,1.26349182,0,0.63174591,2.526983641,0,0.63174591,0.63174591,1.895237731,0.63174591,34.375,0.193548387,6.25,9.375,3.125,84.375,9.375,12.5,3.125,93.75,65.625,12.5,3.125,12.5,12.5,6.25,3.125,9.375,3.125,9.375,0.134072581,0.09375,1
0,0.029411765,0.058823529,0,0,0,0,0,1.311654788,0,0.655827394,0,0,0,1.311654788,1.967482182,1.311654788,1.311654788,0,0.655827394,2.623309576,0.655827394,32.35294118,0.333333333,35.29411765,5.882352941,2.941176471,64.70588235,5.882352941,2.941176471,35.29411765,94.11764706,61.76470588,2.941176471,2.941176471,0,0,17.64705882,2.941176471,8.823529412,2.941176471,5.882352941,0,0.205882353,1
0.058823529,0.029411765,0,0,0,0,0,0,2.037617887,1.018808943,0.509404472,0,0,1.018808943,0,0.509404472,1.018808943,0,0.509404472,0.509404472,1.018808943,1.018808943,47.05882353,0.121212121,20.58823529,2.941176471,17.64705882,82.35294118,2.941176471,17.64705882,20.58823529,91.17647059,67.64705882,11.76470588,2.941176471,0,0,5.882352941,2.941176471,8.823529412,5.882352941,2.941176471,0.160427807,0.205882353,1
0,0.111111111,0,0,0,0,0,0,2.076016552,0,2.768022069,1.384011035,0,0.692005517,0,1.384011035,2.076016552,0,0.692005517,2.076016552,2.768022069,2.768022069,19.44444444,0.4,5.555555556,2.777777778,8.333333333,33.33333333,2.777777778,11.11111111,47.22222222,97.22222222,69.44444444,8.333333333,2.777777778,5.555555556,33.33333333,27.77777778,8.333333333,2.777777778,8.333333333,2.777777778,0.018253968,0.138888889,1
0.027777778,0.083333333,0,0,0.028571429,0,0,0,1.534226636,0.511408879,1.534226636,0,0,0.511408879,0.511408879,0,0.511408879,0,0.511408879,0,1.534226636,1.534226636,30.55555556,0.342857143,2.777777778,5.555555556,19.44444444,55.55555556,11.11111111,13.88888889,2.777777778,80.55555556,61.11111111,13.88888889,5.555555556,0,0,2.777777778,5.555555556,11.11111111,11.11111111,5.555555556,0,0.111111111,1
0,0,0.027027027,0,0,0,0.027777778,0,3.089999245,0,0,0.617999849,0.617999849,0,1.235999698,0,2.471999396,0.617999849,0.617999849,1.235999698,3.707999095,3.089999245,40.54054054,0.305555556,35.13513514,2.702702703,10.81081081,81.08108108,2.702702703,10.81081081,32.43243243,67.56756757,67.56756757,8.108108108,2.702702703,35.13513514,64.86486486,13.51351351,5.405405405,2.702702703,10.81081081,2.702702703,0.075825826,0.108108108,1
0.027027027,0.108108108,0,0,0.055555556,0,0,0,1.504110557,0.501370186,2.005480743,0,0.501370186,0,1.002740371,0,0.501370186,0,1.002740371,0,1.504110557,1.504110557,27.02702703,0.305555556,2.702702703,5.405405405,18.91891892,75.67567568,10.81081081,13.51351351,2.702702703,91.89189189,70.27027027,13.51351351,5.405405405,54.05405405,54.05405405,2.702702703,5.405405405,10.81081081,10.81081081,5.405405405,0.071321321,0.135135135,1
0,0.081081081,0,0,0.027777778,0,0,0,0.512209623,0,1.536628868,1.024419245,1.024419245,0,0.512209623,1.024419245,1.024419245,0,0,0.512209623,2.048838491,1.536628868,27.02702703,0.305555556,13.51351351,2.702702703,18.91891892,67.56756757,2.702702703,13.51351351,8.108108108,97.2972973,64.86486486,13.51351351,2.702702703,59.45945946,91.89189189,21.62162162,2.702702703,5.405405405,10.81081081,2.702702703,0.078078078,0.081081081,1
0.054054054,0.027027027,0,0,0,0,0,0,3.32183639,1.107278797,0.553639398,0,0,2.214557593,0,0.553639398,1.660918195,0,0.553639398,0,0.553639398,0.553639398,43.24324324,0.138888889,10.81081081,2.702702703,5.405405405,89.18918919,2.702702703,5.405405405,10.81081081,91.89189189,72.97297297,5.405405405,2.702702703,0,0,5.405405405,18.91891892,2.702702703,2.702702703,43.24324324,0.231981982,0.081081081,1
0.048780488,0.097560976,0.048780488,0,0.025,0,0,0,2.008628061,1.004314031,2.008628061,0,0.502157015,0.502157015,0,1.506471046,0.502157015,1.004314031,0,0,2.008628061,1.004314031,31.70731707,0.225,4.87804878,2.43902439,19.51219512,43.90243902,2.43902439,14.63414634,4.87804878,92.68292683,73.17073171,14.63414634,2.43902439,51.2195122,51.2195122,2.43902439,9.756097561,7.317073171,2.43902439,7.317073171,0.021341463,0.12195122,1
0,0.093023256,0.023255814,0,0.023809524,0,0,0,2.619771913,0,2.09581753,0,1.047908765,0.523954383,0.523954383,2.09581753,0.523954383,0.523954383,0,0,1.571863148,1.571863148,34.88372093,0.238095238,13.95348837,2.325581395,4.651162791,48.8372093,2.325581395,4.651162791,9.302325581,88.37209302,69.76744186,4.651162791,2.325581395,30.23255814,48.8372093,2.325581395,4.651162791,6.976744186,2.325581395,6.976744186,0.124584718,0.139534884,1
0,0.046511628,0,0,0.023809524,0,0,0,0.508724047,0,1.017448095,1.017448095,0,1.017448095,0,1.526172142,0.508724047,0,0,0.508724047,0.508724047,2.034896189,20.93023256,0.30952381,4.651162791,2.325581395,18.60465116,62.79069767,2.325581395,13.95348837,4.651162791,86.04651163,65.11627907,13.95348837,2.325581395,41.86046512,62.79069767,4.651162791,2.325581395,11.62790698,11.62790698,2.325581395,0,0.162790698,1
0,0.186046512,0.023255814,0,0.047619048,0,0,0,1.58698414,0,4.231957705,0.528994713,0,0,1.057989426,0.528994713,0.528994713,0.528994713,0,0,1.057989426,1.58698414,23.25581395,0.357142857,2.325581395,6.976744186,16.27906977,65.11627907,9.302325581,4.651162791,2.325581395,100,58.13953488,4.651162791,4.651162791,39.53488372,39.53488372,2.325581395,6.976744186,4.651162791,9.302325581,6.976744186,0,0.11627907,1
0,0.046511628,0,0,0.023809524,0,0,0,0,0,1.531521704,0,0,0.765760852,0.765760852,1.531521704,0,0,0,0,4.594565111,0.765760852,4.651162791,0.261904762,41.86046512,4.651162791,2.325581395,62.79069767,4.651162791,2.325581395,97.6744186,100,58.13953488,2.325581395,2.325581395,0,0,41.86046512,2.325581395,4.651162791,2.325581395,32.55813953,0,0.069767442,1
0,0.046511628,0,0,0,0,0,0,3.867780363,0,1.289260121,0,0,0.64463006,0.64463006,3.867780363,1.289260121,0,0.64463006,0,1.933890181,2.578520242,25.58139535,0.30952381,2.325581395,11.62790698,4.651162791,86.04651163,11.62790698,2.325581395,9.302325581,100,74.41860465,2.325581395,2.325581395,0,0,2.325581395,4.651162791,6.976744186,4.651162791,13.95348837,0,0.139534884,1
0,0.022727273,0.045454545,0,0,0,0,0,1.7862843,0,0.446571075,0.446571075,0.446571075,0.89314215,0.446571075,4.019139676,0.446571075,0.89314215,0.89314215,0.446571075,0,0.89314215,43.18181818,0.209302326,13.63636364,4.545454545,2.272727273,77.27272727,4.545454545,9.090909091,2.272727273,100,70.45454545,9.090909091,2.272727273,65.90909091,86.36363636,2.272727273,9.090909091,4.545454545,4.545454545,2.272727273,0.329809725,0.045454545,1
